success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 198, success_way : 2, fail : 0
success_chan : 174, success_way : 24, fail : 2
success_chan : 66, success_way : 119, fail : 15
success_chan : 2, success_way : 155, fail : 43
success_chan : 0, success_way : 127, fail : 73
success_chan : 0, success_way : 93, fail : 107
success_chan : 0, success_way : 89, fail : 111
success_chan : 0, success_way : 73, fail : 127
success_chan : 0, success_way : 54, fail : 146
success_chan : 0, success_way : 38, fail : 162
