success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 199, success_way : 1, fail : 0
success_chan : 192, success_way : 7, fail : 1
success_chan : 136, success_way : 43, fail : 21
success_chan : 54, success_way : 90, fail : 56
success_chan : 17, success_way : 66, fail : 117
success_chan : 0, success_way : 40, fail : 160
success_chan : 0, success_way : 33, fail : 167
success_chan : 0, success_way : 12, fail : 188
success_chan : 0, success_way : 6, fail : 194
success_chan : 0, success_way : 1, fail : 199
success_chan : 0, success_way : 0, fail : 200
success_chan : 0, success_way : 0, fail : 200
success_chan : 0, success_way : 0, fail : 200
success_chan : 0, success_way : 0, fail : 200
success_chan : 0, success_way : 0, fail : 200
success_chan : 0, success_way : 0, fail : 200
success_chan : 0, success_way : 0, fail : 200
success_chan : 0, success_way : 0, fail : 200
