success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 200, success_way : 0, fail : 0
success_chan : 199, success_way : 1, fail : 0
success_chan : 193, success_way : 5, fail : 2
success_chan : 148, success_way : 38, fail : 14
success_chan : 60, success_way : 71, fail : 69
success_chan : 18, success_way : 72, fail : 110
success_chan : 0, success_way : 52, fail : 148
success_chan : 0, success_way : 24, fail : 176
success_chan : 0, success_way : 14, fail : 186
success_chan : 0, success_way : 5, fail : 195
success_chan : 0, success_way : 2, fail : 198
success_chan : 0, success_way : 0, fail : 200
success_chan : 0, success_way : 0, fail : 200
success_chan : 0, success_way : 0, fail : 200
success_chan : 0, success_way : 0, fail : 200
success_chan : 0, success_way : 0, fail : 200
success_chan : 0, success_way : 0, fail : 200
success_chan : 0, success_way : 0, fail : 200
success_chan : 0, success_way : 0, fail : 200
