success_chan : 200, success_way : 0, fail : 0
success_chan : 190, success_way : 0, fail : 10
success_chan : 170, success_way : 0, fail : 30
success_chan : 155, success_way : 0, fail : 45
success_chan : 125, success_way : 1, fail : 74
success_chan : 111, success_way : 1, fail : 88
success_chan : 105, success_way : 3, fail : 92
success_chan : 82, success_way : 3, fail : 115
success_chan : 66, success_way : 6, fail : 128
success_chan : 54, success_way : 1, fail : 145
success_chan : 37, success_way : 3, fail : 160
success_chan : 36, success_way : 0, fail : 164
success_chan : 24, success_way : 1, fail : 175
success_chan : 12, success_way : 1, fail : 187
success_chan : 8, success_way : 3, fail : 189
success_chan : 6, success_way : 2, fail : 192
success_chan : 2, success_way : 0, fail : 198
success_chan : 2, success_way : 1, fail : 197
success_chan : 0, success_way : 1, fail : 199
success_chan : 3, success_way : 0, fail : 197
success_chan : 3, success_way : 0, fail : 197
success_chan : 2, success_way : 0, fail : 198
success_chan : 7, success_way : 0, fail : 193
success_chan : 9, success_way : 0, fail : 191
success_chan : 10, success_way : 0, fail : 190
success_chan : 9, success_way : 0, fail : 191
success_chan : 10, success_way : 0, fail : 190
success_chan : 8, success_way : 0, fail : 192
success_chan : 17, success_way : 0, fail : 183
success_chan : 16, success_way : 0, fail : 184
success_chan : 16, success_way : 0, fail : 184
success_chan : 16, success_way : 0, fail : 184
success_chan : 25, success_way : 0, fail : 175
success_chan : 15, success_way : 0, fail : 185
success_chan : 27, success_way : 0, fail : 173
success_chan : 17, success_way : 0, fail : 183
success_chan : 32, success_way : 0, fail : 168
success_chan : 36, success_way : 0, fail : 164
success_chan : 36, success_way : 0, fail : 164
success_chan : 33, success_way : 0, fail : 167
